"","Draudėjo.kodas..code.","Juridinių.asmenų.registro.kodas..jarCode.","Pavadinimas..name.","Savivaldybė..kurioje.registruota.municipality.","Ekonominės.veiklos.rūšies.kodas.ecoActCode.","Ekonominės.veiklos.rūšies.pavadinimas.ecoActName.","Mėnuo..month.","Vidutinis.darbo.užmokestis..avgWage.","Apdraustųjų.skaičius..numInsured.","Vidutinis.darbo.užmokestis.II..avgWage2.","Apdraustųjų.skaičius.II..numInsured2.","Valstybinio.socialinio.draudimo.įmoka..tax."
"1",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202301,"1095.33",47,"",0,"11502.86"
"2",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202302,"1103.60",47,"",0,"11548.25"
"3",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202303,"1056.77",51,"",0,"12019.33"
"4",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202304,"1076.52",52,"",0,"12586.03"
"5",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202305,"1065.41",53,"",0,"12670.18"
"6",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202306,"1110.29",60,"",0,"14828.45"
"7",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202307,"983.76",65,"",0,"14142.58"
"8",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202308,"1089.78",58,"",0,"14025.49"
"9",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202309,"1107.72",58,"",0,"14272.54"
"10",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202310,"1096.56",59,"",0,"14367.37"
"11",41055,110379432,"UŽDAROJI AKCINĖ BENDROVĖ ""NAUJASIS VILNIUS""","Vilniaus m. sav.",561000,"Restoranų ir pagaminto valgio teikimo veikla",202311,"1140.30",57,"",0,"14424.83"
